step,train_loss
1,2.545980453491211
2,2.402848482131958
3,2.313014268875122
4,2.289228916168213
5,2.2891786098480225
6,2.1604223251342773
7,2.2274646759033203
8,2.092904806137085
9,2.0601747035980225
10,2.123929738998413
11,2.139346122741699
12,2.0700840950012207
13,2.1444125175476074
14,2.089632749557495
15,2.0183167457580566
16,2.0119168758392334
17,2.1311538219451904
18,2.0420045852661133
19,1.9734023809432983
20,2.0560216903686523
21,2.040581703186035
22,2.0415561199188232
23,1.9036610126495361
24,2.000509023666382
25,1.9103128910064697
26,1.9174877405166626
27,2.019890069961548
28,2.0098280906677246
29,1.998692512512207
30,1.959601879119873
31,1.9593632221221924
32,1.93711256980896
33,1.9163479804992676
34,1.9312987327575684
35,1.9363905191421509
36,1.9512078762054443
37,1.9584037065505981
38,1.9660437107086182
39,2.034219264984131
40,1.9399197101593018
41,1.8943889141082764
42,1.9317446947097778
43,1.894179344177246
44,1.844824194908142
45,1.8709803819656372
46,1.8619977235794067
47,1.8794974088668823
48,1.884456992149353
49,1.8857325315475464
50,1.8843880891799927
51,1.840470314025879
52,1.8682587146759033
53,1.9009164571762085
54,1.9213651418685913
55,1.901025414466858
56,1.913557529449463
57,1.7807741165161133
58,1.9571105241775513
59,1.8227720260620117
60,1.8909038305282593
61,1.8889129161834717
62,1.8291586637496948
63,1.839529037475586
64,1.8348803520202637
65,1.8596042394638062
66,1.8594775199890137
67,1.8659523725509644
68,1.7965105772018433
69,1.8142448663711548
70,1.8823693990707397
71,1.8251450061798096
72,1.7758208513259888
73,1.8297176361083984
74,1.8042950630187988
75,1.8387445211410522
76,1.8106492757797241
77,1.8103446960449219
78,1.7913180589675903
79,1.757326602935791
80,1.8220142126083374
81,1.7798924446105957
82,1.7967917919158936
83,1.809936285018921
84,1.8295598030090332
85,1.8601115942001343
86,1.752861738204956
87,1.7787126302719116
88,1.8273247480392456
89,1.7370651960372925
90,1.7427141666412354
91,1.739564299583435
92,1.847682237625122
93,1.830223560333252
94,1.7710586786270142
95,1.7665140628814697
96,1.775347352027893
97,1.8363897800445557
98,1.8422554731369019
99,1.787172555923462
100,1.7683402299880981
101,1.7803480625152588
102,1.7716975212097168
103,1.8281255960464478
104,1.7267625331878662
105,1.7192602157592773
106,1.76885986328125
107,1.752166986465454
108,1.7897193431854248
109,1.7291704416275024
110,1.6910232305526733
111,1.7480393648147583
112,1.739060401916504
113,1.903894305229187
114,1.7263531684875488
115,1.6957545280456543
116,1.7053523063659668
117,1.7490280866622925
118,1.7196910381317139
119,1.67351496219635
120,1.7943896055221558
121,1.810103416442871
122,1.7116177082061768
123,1.785465955734253
124,1.7521872520446777
125,1.7204837799072266
126,1.732653260231018
127,1.777001976966858
128,1.7558720111846924
129,1.763548493385315
130,1.7797118425369263
131,1.7666903734207153
132,1.785908818244934
133,1.7272073030471802
134,1.7742609977722168
135,1.7131327390670776
136,1.769972324371338
137,1.759162187576294
138,1.7174882888793945
139,1.6994143724441528
140,1.71142578125
141,1.6797093152999878
142,1.7205824851989746
143,1.7125344276428223
144,1.692035436630249
145,1.7370322942733765
146,1.7898398637771606
147,1.6912696361541748
148,1.6868916749954224
149,1.7381008863449097
150,1.7228991985321045
151,1.6954652070999146
152,1.7609214782714844
153,1.669063687324524
154,1.6981573104858398
155,1.7274976968765259
156,1.6525192260742188
157,1.676714301109314
158,1.7013225555419922
159,1.7777994871139526
160,1.76408052444458
161,1.743263602256775
162,1.7409862279891968
163,1.7075464725494385
164,1.7057634592056274
165,1.6905957460403442
166,1.7268881797790527
167,1.719515085220337
168,1.6796948909759521
169,1.7020235061645508
170,1.7381510734558105
171,1.7148184776306152
172,1.7150795459747314
173,1.7230225801467896
174,1.7317571640014648
175,1.719131588935852
176,1.6308767795562744
177,1.7180702686309814
178,1.7983628511428833
179,1.7648576498031616
180,1.7307292222976685
181,1.6841204166412354
182,1.7085585594177246
183,1.6778631210327148
184,1.7772986888885498
185,1.6408241987228394
186,1.7107127904891968
187,1.70001220703125
188,1.7412396669387817
189,1.6551861763000488
190,1.7100193500518799
191,1.7048577070236206
192,1.610710620880127
193,1.7257784605026245
194,1.69098699092865
195,1.6777175664901733
196,1.7118291854858398
197,1.6770497560501099
198,1.7468141317367554
199,1.6918696165084839
200,1.6763564348220825
