step,train_loss
1,2.4208269119262695
2,2.5274617671966553
3,2.5626614093780518
4,2.0499141216278076
5,1.9368879795074463
6,2.5955634117126465
7,2.178194761276245
8,2.4015910625457764
9,2.2749269008636475
10,2.3619384765625
11,2.313669204711914
12,2.2225534915924072
13,2.2390964031219482
14,2.1697871685028076
15,2.0774590969085693
16,2.035611391067505
17,1.9731724262237549
18,1.9806461334228516
19,2.2456653118133545
20,2.261516809463501
21,2.261260509490967
22,2.1252970695495605
23,2.0070436000823975
24,2.1183829307556152
25,2.0719242095947266
26,1.873286485671997
27,2.129809856414795
28,1.9540166854858398
29,1.8812638521194458
30,2.1247153282165527
31,2.062412738800049
32,1.7749855518341064
33,1.89858078956604
34,2.0048513412475586
35,1.8787462711334229
36,2.0022993087768555
37,1.9301249980926514
38,1.802112340927124
39,1.6829968690872192
40,1.676762580871582
41,1.9462130069732666
42,1.922932505607605
43,1.947394847869873
44,1.9276679754257202
45,1.8638806343078613
46,1.8968842029571533
47,1.8850327730178833
48,2.0586137771606445
49,1.8445264101028442
50,1.7481086254119873
51,1.9920302629470825
52,1.7442646026611328
53,2.1024439334869385
54,1.6998064517974854
55,2.0283193588256836
56,1.7898330688476562
57,1.9903335571289062
58,2.032674789428711
59,1.705238699913025
60,1.8533121347427368
61,2.0010008811950684
62,1.7157057523727417
63,1.7609543800354004
64,1.8159123659133911
65,1.8876378536224365
66,1.9089510440826416
67,1.7686642408370972
68,1.9527870416641235
69,1.8282957077026367
70,1.9902197122573853
71,1.7254347801208496
72,1.6710454225540161
73,1.925374150276184
74,1.8806769847869873
75,1.753241777420044
76,1.9162087440490723
77,1.9035301208496094
78,1.7304517030715942
79,1.8802015781402588
80,1.7046334743499756
81,1.8146170377731323
82,1.7413604259490967
83,1.7801237106323242
84,1.7672172784805298
85,1.5540618896484375
86,1.629285216331482
87,2.036466360092163
88,1.9955627918243408
89,1.874955415725708
90,1.7557883262634277
91,1.7906842231750488
92,1.7718170881271362
93,1.9678300619125366
94,1.778051733970642
95,1.8837165832519531
96,1.6587334871292114
97,1.7178723812103271
98,1.8787661790847778
99,1.6863722801208496
100,1.7765213251113892
101,1.7623449563980103
102,1.674375295639038
103,1.8301112651824951
104,1.8644276857376099
105,1.7636950016021729
106,1.9033658504486084
107,1.6932101249694824
108,1.7277801036834717
109,1.655348300933838
110,1.8081072568893433
111,1.7174369096755981
112,1.7512595653533936
113,1.6848061084747314
114,1.745114803314209
115,1.6552687883377075
116,1.6865025758743286
117,1.7631384134292603
118,1.7463254928588867
119,1.6366409063339233
120,1.7662922143936157
121,1.5676580667495728
122,1.6212353706359863
123,1.6159734725952148
124,1.7100028991699219
125,1.7502713203430176
126,1.8336176872253418
127,1.6055574417114258
128,1.9138703346252441
129,1.727082371711731
130,1.8036030530929565
131,1.8733811378479004
132,1.864810585975647
133,1.6981157064437866
134,1.738682746887207
135,1.837039589881897
136,1.7443156242370605
137,1.7882044315338135
138,1.5064650774002075
139,1.7908594608306885
140,1.8122961521148682
141,1.6350027322769165
142,1.5659703016281128
143,1.714470386505127
144,1.866369605064392
145,1.5902470350265503
146,1.6590012311935425
147,1.808519959449768
148,1.737838625907898
149,1.8793399333953857
150,1.8448461294174194
151,1.709015965461731
152,1.7709094285964966
153,1.5283763408660889
154,1.664563775062561
155,1.5817903280258179
156,1.7797235250473022
157,1.8867192268371582
158,1.611276388168335
159,1.827439546585083
160,1.6292874813079834
161,1.8099915981292725
162,1.6020936965942383
163,1.6843509674072266
164,1.6988284587860107
165,1.7289122343063354
166,1.6910979747772217
167,1.7861403226852417
168,1.6577259302139282
169,1.9949772357940674
170,1.5714492797851562
171,1.6469417810440063
172,1.9297492504119873
173,1.706026554107666
174,1.728226900100708
175,1.5727667808532715
176,1.6189699172973633
177,1.6460800170898438
178,1.689601182937622
179,1.5942550897598267
180,1.7938655614852905
181,1.897052526473999
182,1.5830169916152954
183,1.6433467864990234
184,1.9326870441436768
185,1.603665828704834
186,1.640425205230713
187,1.8168156147003174
188,1.8376145362854004
189,1.6936010122299194
190,1.6926366090774536
191,1.6449780464172363
192,1.6679534912109375
193,1.693865180015564
194,1.7276848554611206
195,1.7423434257507324
196,1.6175943613052368
197,1.8824598789215088
198,1.6758404970169067
199,1.780392050743103
200,1.6751470565795898
